___________________________________________________________________________________________
|   Exp.   |         Hyper Parameter        |                   Results                   |
|          |      num of test games: 5      |           Total moves made: 20224           |
|          |     rand. move chance: 0.1     |         Average moves made: 202.24          |
|          |      Alpha-Beta Depth: 2       |   Max move made (may be move limit): 1000   |
|          |        move limit: 1000        |              Min move made: 36              |
|__________|________________________________|_____________________________________________|
|    13    |        step size: 0.005        |             Games Played: 1000              |
|  train   |      discount factor: 0.4      |          Num. games player1 won: 0          |
|          |    num of train games: 200     |         Num. games player2 won: 545         |
|          |     num of train rounds: 5     |        Num. games move limit hit: 49        |
|          |   num of validation games: 5   |            Num. games tied: 406             |
|          |      num of test games: 5      |           Total moves made: 80832           |
|          |     rand. move chance: 0.1     |         Average moves made: 80.832          |
|          |      Alpha-Beta Depth: 2       |   Max move made (may be move limit): 500    |
|          |        move limit: 500         |              Min move made: 30              |
|__________|________________________________|_____________________________________________|
|    13    |        step size: 0.005        |              Games Played: 25               |
|validation|      discount factor: 0.4      |          Num. games player1 won: 0          |
|          |    num of train games: 200     |         Num. games player2 won: 21          |
|          |     num of train rounds: 5     |        Num. games move limit hit: 1         |
|          |   num of validation games: 5   |             Num. games tied: 3              |
|          |      num of test games: 5      |           Total moves made: 1762            |
|          |     rand. move chance: 0.1     |          Average moves made: 70.48          |
|          |      Alpha-Beta Depth: 2       |   Max move made (may be move limit): 500    |
|          |        move limit: 500         |              Min move made: 36              |
|__________|________________________________|_____________________________________________|
|    14    |        step size: 0.005        |             Games Played: 4000              |
|  train   |      discount factor: 0.4      |          Num. games player1 won: 3          |
|          |    num of train games: 200     |        Num. games player2 won: 2208         |
|          |    num of train rounds: 20     |       Num. games move limit hit: 134        |
|          |   num of validation games: 5   |            Num. games tied: 1655            |
|          |      num of test games: 5      |          Total moves made: 306078           |
|          |     rand. move chance: 0.1     |         Average moves made: 76.5195         |
|          |      Alpha-Beta Depth: 2       |   Max move made (may be move limit): 500    |
|          |        move limit: 500         |              Min move made: 26              |
|__________|________________________________|_____________________________________________|
|    14    |        step size: 0.005        |              Games Played: 100              |
|validation|      discount factor: 0.4      |          Num. games player1 won: 1          |
|          |    num of train games: 200     |         Num. games player2 won: 72          |
|          |    num of train rounds: 20     |        Num. games move limit hit: 22        |
|          |   num of validation games: 5   |             Num. games tied: 5              |
|          |      num of test games: 5      |           Total moves made: 14865           |
|          |     rand. move chance: 0.1     |         Average moves made: 148.65          |
|          |      Alpha-Beta Depth: 2       |   Max move made (may be move limit): 500    |
|          |        move limit: 500         |              Min move made: 34              |
|__________|________________________________|_____________________________________________|
|    15    |        step size: 0.005        |             Games Played: 1000              |
|  train   |      discount factor: 0.4      |          Num. games player1 won: 0          |
|          |    num of train games: 200     |         Num. games player2 won: 538         |
|          |     num of train rounds: 5     |        Num. games move limit hit: 27        |
|          |   num of validation games: 5   |            Num. games tied: 435             |
|          |      num of test games: 5      |          Total moves made: 103276           |
|          |     rand. move chance: 0.1     |         Average moves made: 103.276         |
|          |      Alpha-Beta Depth: 2       |   Max move made (may be move limit): 1000   |
|          |        move limit: 1000        |              Min move made: 26              |
|__________|________________________________|_____________________________________________|
|    15    |        step size: 0.005        |              Games Played: 25               |
|validation|      discount factor: 0.4      |          Num. games player1 won: 0          |
|          |    num of train games: 200     |         Num. games player2 won: 21          |
|          |     num of train rounds: 5     |        Num. games move limit hit: 3         |
|          |   num of validation games: 5   |             Num. games tied: 1              |
|          |      num of test games: 5      |           Total moves made: 4100            |
|          |     rand. move chance: 0.1     |          Average moves made: 164.0          |
|          |      Alpha-Beta Depth: 2       |   Max move made (may be move limit): 1000   |
|          |        move limit: 1000        |              Min move made: 36              |
|__________|________________________________|_____________________________________________|
|    16    |        step size: 0.005        |             Games Played: 4000              |
|  train   |      discount factor: 0.4      |          Num. games player1 won: 0          |
|          |    num of train games: 200     |        Num. games player2 won: 2255         |
|          |    num of train rounds: 20     |        Num. games move limit hit: 82        |
|          |   num of validation games: 5   |            Num. games tied: 1663            |
|          |      num of test games: 5      |          Total moves made: 349782           |
|          |     rand. move chance: 0.1     |         Average moves made: 87.4455         |
|          |      Alpha-Beta Depth: 2       |   Max move made (may be move limit): 1000   |
|          |        move limit: 1000        |              Min move made: 26              |
|__________|________________________________|_____________________________________________|
|    16    |        step size: 0.005        |              Games Played: 100              |
|validation|      discount factor: 0.4      |          Num. games player1 won: 1          |
|          |    num of train games: 200     |         Num. games player2 won: 69          |
|          |    num of train rounds: 20     |        Num. games move limit hit: 24        |
|          |   num of validation games: 5   |             Num. games tied: 6              |
|          |      num of test games: 5      |           Total moves made: 27816           |
|          |     rand. move chance: 0.1     |         Average moves made: 278.16          |
|          |      Alpha-Beta Depth: 2       |   Max move made (may be move limit): 1000   |
|          |        move limit: 1000        |              Min move made: 30              |
|__________|________________________________|_____________________________________________|
